beatNo,left,right,both,comments
9,-1,1,-1
11,0,-1,-1
13,-1,3,-1
15,2,-1,-1
17,-1,1,-1
18,0,-1,-1
19,-1,3,-1
20,2,-1,-1
21,0,1,-1
22,2,3,-1
23,0,1,-1
24,2,3,-1
25,-1,-1,4,first verse
26,-1,-1,4
27,-1,-1,4
28,-1,-1,4
29,-1,-1,4
30,0,1,-1
31,2,3,-1
32,-1,-1,6
33,7,5,-1
34,-1,-1,3
35,-1,-1,0
36,-1,-1,1
37,-1,-1,2
38,-1,-1,3
39,-1,-1,0
40,-1,-1,1
41,7,5,-1
42,0,1,-1
43,2,3,-1
44,0,1,-1
45,4,6,-1
47,6,4,-1
49,1,5,-1
50.5,1,0,-1
52,7,0,-1
53.5,0,2,-1
55,3,1,-1
56,3,2,-1
57,-1,-1,4,second verse
58,-1,-1,4
59,-1,-1,4
60,-1,-1,4
61,-1,-1,4
62,0,1,-1
63,2,3,-1
64,-1,-1,6
65,7,5,-1
66,-1,-1,3
67,-1,-1,0
68,-1,-1,1
69,-1,-1,2
70,-1,-1,3
71,-1,-1,0
72,-1,-1,1
73,7,5,-1
74,0,1,-1
75,2,3,-1
76,0,1,-1
77,4,6,-1
79,6,4,-1
81,1,5,-1
82.5,1,0,-1
84,7,0,-1
85.5,0,2,-1
87,3,1,-1
88,3,2,-1
