beatNo,left,right,both,comments
9,-1,1,-1
11,0,-1,-1
13,-1,3,-1
15,2,-1,-1
17,-1,1,-1
18,0,-1,-1
19,-1,3,-1
20,2,-1,-1
21,0,1,-1
22,2,3,-1
23,0,1,-1
24,2,3,-1
25,-1,-1,4,first verse
26,-1,-1,4
27,-1,-1,4
28,-1,-1,4
29,-1,-1,4
30,0,1,-1
31,2,3,-1
32,-1,-1,6
33,7,5,-1
34,-1,-1,3
35,-1,-1,0
36,-1,-1,1
37,-1,-1,2
38,-1,-1,3
39,-1,-1,0
40,-1,-1,1
41,7,5,-1
42,0,1,-1
43,2,3,-1
44,0,1,-1
45,4,6,-1
47,6,4,-1
49,1,5,-1
50.5,1,0,-1
52,7,0,-1
53.5,0,2,-1
55,3,1,-1
56,3,2,-1
57,-1,-1,4,second verse
58,-1,-1,4
59,-1,-1,4
60,-1,-1,4
61,-1,-1,4
62,0,1,-1
63,2,3,-1
64,-1,-1,6
65,7,5,-1
66,-1,-1,3
67,-1,-1,0
68,-1,-1,1
69,-1,-1,2
70,-1,-1,3
71,-1,-1,0
72,-1,-1,1
73,7,5,-1
74,0,1,-1
75,2,3,-1
76,0,1,-1
77,4,6,-1
79,6,4,-1
81,1,5,-1
82.5,1,0,-1
84,7,0,-1
85.5,0,2,-1
87,3,1,-1
88,3,2,-1
89,-1,-1,4,---
90,-1,-1,6
91,7,3,-1
92,2,5,-1
93,-1,1,-1
93.25,0,-1,-1,---
93.5,-1,1,-1
93.75,0,-1,-1
94,-1,3,-1
94.25,2,-1,-1
94.5,-1,3,-1
94.75,2,-1,-1
95,-1,5,-1
95.25,7,-1,-1
95.5,-1,5,-1
95.75,7,-1,-1
96,-1,-1,6
97,-1,-1,4,chorus YMCA---
99,0,1,-1,
100,1,5,-1,
100.5,-1,-1,4
103,2,1,-1,---
104,0,3,-1,YMCA end
105,-1,-1,4,YMCA---
107,0,1,-1,
108,1,5,-1,
108.5,-1,-1,4
111,0,3,-1,---
112,2,1,-1,YMCA end
113,-1,5,-1,---
113.5,2,-1,-1
114,-1,3,-1
114.5,7,-1
115,-1,-1,4
116,-1,-1,6,
117,7,-1,-1,---
117.5,-1,3,-1
118,2,-1,-1
118.5,-1,5,-1
119,-1,-1,6
120,-1,-1,4
121,-1,0,-1,---
122,3,-1,-1
123,1,-1,-1
124,-1,2,-1,
125,2,1,-1,---
126,0,3,-1
127,7,5,-1
127.5,7,5,-1
128,7,5,-1
129,-1,-1,4,chorus YMCA---
131,0,1,-1,
132,1,5,-1,
132.5,-1,-1,4
135,2,1,-1,---
136,0,3,-1,YMCA end
137,-1,-1,4,YMCA---
139,0,1,-1,
140,1,5,-1,
140.5,-1,-1,4
143,0,3,-1,---
144,2,1,-1,YMCA end
145,-1,5,-1,---
145.5,2,-1,-1
146,-1,3,-1
146.5,7,-1,-1
147,-1,-1,4
148,-1,-1,6,
149,7,-1,-1,---
149.5,-1,3,-1
150,2,-1,-1
150.5,-1,5,-1
151,-1,-1,6
152,-1,-1,4
153,-1,0,-1,---
154,3,-1,-1
155,1,-1,-1
156,-1,2,-1,
157,2,1,-1,---
158,0,3,-1
159,7,5,-1
159.5,7,5,-1
160,7,5,-1
161,-1,-1,4,--
