19.772,0,-1,-1,
20.631,-1,1,-1,
22.552,0,-1,-1,
23.011,-1,1,-1,
23.249,0,-1,-1,
23.487,-1,1,-1,
25.342,0,-1,-1,
26.703,-1,1,-1,
27.185,0,-1,-1,
28.073,-1,1,-1,
28.723,0,-1,-1,
28.996,-1,1,-1,
29.449,2,-1,-1,
29.690,-1,3,-1,
29.928,2,-1,-1,
30.388,-1,3,-1,
30.629,2,-1,-1,
30.878,-1,3,-1,
31.810,2,-1,-1,
32.136,-1,3,-1,
32.463,2,-1,-1,
32.775,-1,3,-1,
34.081,2,-1,-1,
34.566,0,-1,-1,
35.457,-1,1,-1,
36.409,0,-1,-1,
36.873,-1,1,-1,
37.338,0,-1,-1,
37.841,-1,1,-1,
38.034,0,-1,-1,
38.278,-1,1,-1,
40.086,0,-1,-1,
40.571,-1,1,-1,
41.030,0,-1,-1,
41.265,-1,1,-1,
41.485,0,-1,-1,
41.712,-1,1,-1,
41.944,0,-1,-1,
42.185,-1,1,-1,
42.429,0,-1,-1,
42.658,-1,1,-1,
42.876,0,-1,-1,
43.317,-1,1,-1,
43.584,0,-1,-1,
43.858,-1,1,-1,
44.272,0,-1,-1,
44.701,-1,1,-1,
44.939,0,-1,-1,
45.169,-1,1,-1,
45.368,0,-1,-1,
45.653,-1,1,-1,
45.906,0,-1,-1,
46.126,-1,1,-1,
46.588,0,-1,-1,
47.029,-1,1,-1,
47.256,0,-1,-1,
47.525,-1,1,-1,
47.955,0,-1,-1,
48.408,-1,1,-1,
48.631,0,-1,-1,
48.869,-1,1,-1,
49.110,0,-1,-1,
49.325,-1,1,-1,
49.575,0,-1,-1,
49.810,-1,1,-1,
50.033,0,-1,-1,
50.274,-1,1,-1,
50.712,0,-1,-1,
50.956,-1,1,-1,
51.185,0,-1,-1,
51.635,-1,1,-1,
52.085,0,-1,-1,
52.335,-1,1,-1,
52.561,0,-1,-1,
52.793,-1,1,-1,
53.063,0,-1,-1,
53.490,-1,1,-1,
53.972,0,-1,-1,
54.396,-1,1,-1,
54.625,0,-1,-1,
54.883,-1,1,-1,
56.027,0,-1,-1,
56.247,-1,1,-1,
56.497,0,-1,-1,
56.776,-1,1,-1,
58.105,0,-1,-1,
59.925,-1,1,-1,
62.232,0,-1,-1,
64.134,-1,1,-1,
65.498,0,-1,-1,
67.294,-1,1,-1,
